"group";"uniqueId";"mapre01";"mapre02";"mapre03";"mapre04";"mapre05";"oapre01";"oapre02";"oapre03";"oapre04";"oapre05";"sepre01";"sepre02";"sepre03";"sepre04";"mapre01.1";"mapost02";"mapost03";"mapost04";"mapost05";"oapost01";"oapost02";"oapost03";"oapost04";"oapost05";"sepost01";"sepost02";"sepost03";"sepost04";"sepost05"
"A";"A-75";1;1;1;1;1;1;1;2;2;1;5;6;6;7;1;1;1;0,5;1;1;1;2;2;2;4;6;4;4;6
"A";"A-73";1;1;1;0,5;1;1;1;2;1;2;4;7;6;7;1;1;2;0;1;1;1;1;2;2;5;7;7;7;6
"A";"A-72";1;0;1;1;0;1;1;2;1;2;NA;NA;NA;NA;1;1;1;1;0;1;1;2;1;2;NA;NA;NA;NA;NA
"A";"A-71";1;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A";"A-70";1;0;2;0,5;1;1;0,5;1,5;2;2;1;3;4;2;1;1;2;1;1;1;1;2;1;2;7;6;7;6;7
"A";"A-69";0;0;1;1;1;NA;1;1;0;0;6;6;5;7;0;1;2;1;1;1;NA;NA;0;NA;5;5;5;7;6
"A";"A-66";1;0;1;NA;NA;1;0;1;0;NA;5;4;4;6;1;1;0,5;0,5;0;1;1;1;NA;2;4;3;4;6;NA
"A";"A-65";1;0;0;0;0;NA;NA;NA;NA;0;NA;NA;NA;NA;1;1;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"A";"A-64";1;1;1;0;0;1;1;2;0;2;6;5;5;6;1;1;2;1;1;1;1;1;1;2;5;6;6;6;6
"A";"A-63";1;0;2;1;1;1;1;2;1;2;7;5;5;6;1;1;2;1;1;1;1;2;1;2;7;5;5;7;7
"A";"A-61";1;1;1;1;1;1;1;2;0;2;7;5;5;7;1;1;1;1;1;1;1;2;0;2;6;6;6;6;6
"A";"A-59";1;NA;NA;NA;NA;1;NA;NA;NA;NA;6;5;5;6;1;1;2;0,5;NA;NA;NA;NA;NA;NA;6;5;5;6;6
"A";"A-58";1;1;1;1;0;1;1;2;1;2;6;5;6;6;1;1;0,5;1;1;1;1;2;1;2;6;5;5;6;6
"A";"A-57";1;0;1;0;0;1;0;1;1;NA;4;1;6;7;1;1;0;0,5;0;1;1;2;1;2;4;1;2;4;3
"A";"A-56";1;1;1;0;0;1;1;2;1;2;6;7;6;7;1;1;2;1;1;1;1;2;1;2;2;4;6;6;NA
"A";"A-55";1;1;1;0;1;1;1;1;1;1;6;6;6;6;1;1;1;1;1;0;1;1;0;2;6;6;6;6;6
"A";"A-54";1;1;2;0,5;1;1;1;2;2;1;5;7;7;7;1;1;2;1;1;1;1;1;2;1;7;7;7;7;NA
"A";"A-46";NA;1;NA;0;0;NA;NA;NA;NA;NA;1;1;7;7;NA;0;0;NA;0;NA;NA;NA;NA;NA;7;7;7;7;7
"A";"A-45";1;0;1;0,5;1;1;1;2;1;2;7;4;5;6;1;1;2;1;1;1;1;2;1;2;7;6;3;7;7
"A";"A-44";1;1;1;1;1;1;1;2;1;2;4;7;5;NA;1;1;1;1;1;1;1;2;1;2;5;6;5;4;4
"A";"A-42";1;1;2;0;1;1;1;2;2;2;7;7;7;7;1;1;2;0,5;1;1;1;2;2;2;7;7;7;7;7
"A";"A-41";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;3;3;4;NA;NA;NA;NA;NA;0;0;0;0;NA;5;3;3;4;5
"A";"A-40";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;5;6;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;6;6;6;6
"A";"A-39";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;6;5;7;NA;0;1;1;1;1;1;2;2;2;6;5;5;7;7
"A";"A-38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;3;6;7;7;NA;NA;0;NA;NA;1;1;NA;NA;2;1;3;4;4;1
"A";"A-37";NA;NA;NA;0;NA;NA;NA;NA;NA;NA;7;7;7;7;NA;NA;NA;NA;NA;1;1;1;NA;0;NA;NA;NA;NA;NA
"A";"A-36";1;0;1;0,5;NA;0;NA;NA;0;NA;6;NA;NA;NA;1;1;1;1;0;1;1;1;NA;2;5;4;3;4;4
"A";"A-35";NA;1;NA;NA;NA;1;0;1;NA;2;6;6;5;7;NA;1;1;0;1;1;1;2;1;2;7;6;5;7;6
"A";"A-34";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;7;5;6;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;7;6;4;6;7
"A";"A-22";1;1;1;0,5;1;0;NA;NA;0;NA;7;7;7;7;1;1;1;0,5;1;NA;NA;0;0;NA;7;7;7;7;7
"A";"A-21";1;1;0;0,5;1;0;0;0;1;0;NA;NA;NA;NA;1;1;2;0,5;0;1;1;1;1;2;6;6;5;7;7
"A";"A-20";1;0;0;0,5;0;1;1;1;1;2;5;7;7;7;1;1;1;1;1;1;1;1;1;2;7;7;7;7;7
"A";"A-19";1;0;NA;0;0,5;1;0;1;NA;NA;7;7;6;7;1;1;1;NA;1;1;1;1;1;NA;5;5;5;5;7
"A";"A-18";1;1;NA;0,5;0;1;1;2;1;1;5;5;5;6;1;1;1;1;1;1;1;1;1;2;6;6;6;7;7
"A";"A-17";1;0;2;0,5;1;1;0;1;1;2;NA;NA;NA;NA;1;1;2;1;1;1;1;2;1;2;NA;NA;NA;NA;NA
"A";"A-16";1;1;1;0;1;NA;NA;NA;NA;NA;3;5;4;6;1;1;1;1;1;0;0;0;0;0;4;5;2;4;6
"A";"A-15";1;1;1;1;1;1;1;1;NA;2;5;4;4;5;1;1;1;1;1;1;1;1;0;2;5;5;5;6;5
"A";"A-14";1;1;2;1;1;1;1;2;1;2;6;5;5;7;1;1;2;1;1;1;1;2;1;2;7;6;6;7;6
"A";"A-13";0;0;NA;NA;NA;1;1;2;NA;NA;6;5;4;7;0;NA;NA;NA;NA;1;1;2;1;2;6;5;6;7;7
"A";"A-12";1;0;1;1;1;1;0,5;2;2;2;6;5;5;7;1;1;1;1;1;1;1;1;2;2;3;5;3;6;2
"A";"A-11";1;1;1;0;0;0;0;1;1;2;6;6;6;7;1;0;1;0;1;1;0;2;1;1;6;6;6;7;7
"A";"A-10";1;1;NA;0;1;1;1;2;1;2;6;7;4;7;1;1;1;1;1;1;1;NA;1;1;6;5;4;4;3
"A";"A-9";NA;NA;NA;NA;NA;1;0;NA;NA;NA;5;6;4;7;NA;NA;NA;NA;NA;1;0;NA;NA;NA;NA;NA;NA;NA;NA
"A";"A-8";0;0;1;1;1;1;0,5;2;2;2;3;5;5;7;0;1;1;1;1;1;1;2;2;2;2;6;5;7;4
"A";"A-7";1;0;NA;1;0;1;0;NA;0;1;NA;NA;NA;NA;1;1;0;1;1;1;1;NA;NA;NA;7;5;5;7;7
"A";"A-6";1;1;1;1;0;1;0;1;1;2;7;6;6;7;1;1;1;0;1;1;1;1;1;2;NA;NA;NA;NA;NA
"A";"A-5";1;0;1;0;0;1;1;2;NA;2;6;4;5;7;1;1;1;1;1;1;1;2;0;2;6;4;4;6;5
"B";"B-75";0;1;1;1;1;1;1;0;2;2;4;6;5;4;0;0;1;1;1;1;1;2;2;2;5;5;6;7;6
"B";"B-74";1;1;1;1;1;1;1;0;NA;NA;4;2;2;2;1;0;1;1;1;1;1;1;2;2;1;1;1;1;1
"B";"B-73";1;1;1;2;NA;1;1;0;NA;NA;6;6;5;7;1;1;1;2;1;1;1;1;2;2;7;7;7;7;7
"B";"B-72";1;1;0;1;1;1;1;1;2;2;6;5;5;7;1;0;0,5;2;0;1;0;1;2;2;6;7;6;7;6
"B";"B-70";1;1;0;1;1;1;1;1;1;2;5;7;6;7;1;0;1;0;0,5;1;0;1;1;2;6;4;4;6;6
"B";"B-69";1;1;0;0;0;1;NA;NA;NA;NA;5;7;NA;NA;1;0;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"B";"B-68";1;1;1;0;1;1;1;1;1;2;4;4;4;4;1;0;1;1;1;1;0;1;1;2;7;7;7;7;7
"B";"B-67";0;NA;0;NA;NA;1;1;1;1;2;5;5;7;7;0;1;NA;NA;NA;1;1;1;2;2;5;6;6;7;5
"B";"B-65";0;0;NA;0;0;NA;NA;NA;NA;NA;5;5;4;6;0;NA;NA;NA;NA;1;1;NA;1;2;5;5;5;6;6
"B";"B-64";1;1;0;1;1;1;1;1;2;2;7;7;5;4;1;1;1;1;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-63";1;1;1;2;0;1;1;1;1;NA;5;4;3;5;1;1;1;2;1;1;1;1;2;2;5;4;4;6;5
"B";"B-62";1;NA;NA;1;1;1;1;0;1;1;4;4;3;6;1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-61";NA;NA;1;1;1;1;1;1;2;2;5;5;6;7;NA;1;NA;NA;1;1;1;1;2;2;6;6;5;6;7
"B";"B-60";1;1;1;1;1;1;1;1;2;2;6;5;5;7;1;NA;1;2;1;1;0,5;1;1,5;1,5;5;5;5;7;6
"B";"B-57";1;1;0;NA;1;1;1;1;1;2;5;6;6;7;1;1;1;2;1;1;1;0;2;2;5;7;7;7;6
"B";"B-56";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"B";"B-54";1;1;0,5;2;1;1;1;1;1;1;7;5;7;7;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"B";"B-46";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;2;5;5;6;NA;1;NA;NA;NA;NA;NA;NA;NA;NA;2;6;6;6;4
"B";"B-45";1;1;0,5;1;1;1;1;1;2;2;5;4;4;7;1;NA;0,5;2;1;1;1;1;2;2;5;5;4;7;5
"B";"B-44";1;1;1;2;1;1;1;1;1;NA;7;7;5;7;1;0;1;2;1;1;0;1;1;1,5;7;6;5;7;6
"B";"B-43";1;1;1;2;1;1;1;1;2;2;5;6;6;7;1;0;1;2;1;1;0;NA;0;NA;5;7;7;7;5
"B";"B-42";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;4;5;6;NA;0;1;1;0;1;NA;NA;NA;NA;5;4;4;5;6
"B";"B-41";1;1;0,5;2;1;1;1;2;1;2;7;7;6;7;1;0;0,5;2;1;1;0;2;1;1;7;7;6;7;6
"B";"B-40";NA;NA;0;NA;NA;NA;NA;NA;NA;NA;7;7;7;7;NA;1;0;NA;0;1;1;0;2;2;NA;NA;NA;NA;NA
"B";"B-38";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;6;3;6;NA;1;1;0;1;NA;NA;NA;NA;NA;6;6;3;6;5
"B";"B-35";0;NA;0;NA;NA;NA;NA;NA;NA;NA;7;7;5;7;0;1;0;NA;NA;NA;NA;NA;NA;NA;7;5;4;4;7
"B";"B-32";1;1;0;1;1;1;1;1;1;1;4;3;2;1;1;NA;NA;NA;NA;NA;NA;NA;NA;NA;7;4;2;1;4
"B";"B-23";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;6;5;4;7;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"B";"B-21";0;1;0;NA;1;1;1;0;2;2;NA;NA;NA;NA;0;0;NA;1;1;1;0;0;2;1;4;5;3;6;6
"B";"B-20";1;0;0;0;0;NA;NA;NA;NA;NA;NA;NA;NA;NA;1;1;1;1;1;1;0;1;1;1;7;5;3;5;4
"B";"B-19";1;0;1;NA;0;1;1;NA;1;2;6;7;3;7;1;0;1;2;0;1;0;NA;1;1;6;7;5;7;6
"B";"B-18";NA;0;NA;0;NA;NA;NA;NA;NA;NA;5;3;3;6;NA;1;NA;NA;NA;1;1;NA;1;2;4;6;6;7;7
"B";"B-17";1;1;0,5;1;1;1;1;1;1;2;NA;NA;NA;NA;1;0;0,5;1;1;1;0;1;1;2;6;6;6;7;5
"B";"B-16";1;1;1;2;0;1;1;1;2;2;7;6;5;6;1;1;1;2;1;1;1;1;2;2;7;6;4;6;7
"B";"B-15";1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-14";1;1;0,5;NA;1;1;1;1;1;2;6;6;4;6;1;1;1;1;1;1;1;1;2;2;6;4;4;5;6
"B";"B-13";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;5;4;4;5;NA;1;NA;NA;NA;1;1;NA;2;2;5;5;5;6;6
"B";"B-12";1;1;1;2;1;1;1;1;2;2;6;5;5;7;1;1;1;0;0;1;1;1;2;2;6;6;6;6;7
"B";"B-11";1;1;0;2;NA;1;1;0;1;1;7;7;6;5;1;1;1;1;1;1;0;1;1;2;7;7;7;5;6
"B";"B-10";1;0;1;1;0;1;1;1;1;2;5;4;2;6;1;1;1;1;1;1;1;1;1;2;5;5;3;6;6
"B";"B-9";0;1;1;2;1;1;1;1;2;2;5;6;6;7;0;1;1;1;1;1;1;1;1;2;6;5;5;5;6
"B";"B-8";0;1;1;0;1;1;1;2;2;2;3;4;4;6;0;0;1;1;1;1;1;2;2;2;2;6;6;7;4
"B";"B-6";1;1;1;0;0;1;1;NA;2;NA;NA;NA;NA;NA;1;1;1;2;1;1;1;1;2;2;NA;NA;NA;NA;NA
"B";"B-5";1;1;1;0;0;1;1;1;1;1;NA;NA;NA;NA;1;0;0;1;1;1;0;1;1;2;NA;NA;NA;NA;NA
"B";"B-4";1;1;0;2;1;1;1;1;1;2;NA;NA;NA;NA;1;0;1;2;1;1;0;0;1;2;NA;NA;NA;NA;NA
